City,Pop_1985,Pop_1990,Pop_1995,Pop_2000,Pop_2005,Pop_2010,Pop_2015,Latitude,Longitude
Tokyo,30.3,32.53,33.59,34.45,35.62,36.83,38,35.695126,139.75391
Delhi,7.33,9.73,12.41,15.73,18.67,21.94,25.7,24.734319,81.334404
Shanghai,6.85,7.82,10.45,13.96,16.76,19.98,23.74,31.246027,121.483385
SÃ£o Paulo,13.39,14.78,15.91,17.01,18.29,19.66,21.07,-1.32311,-47.504873
Mumbai (Bombay),10.39,12.44,14.31,16.37,17.89,19.42,21.04,19.04332,72.838101
Ciudad de MÃxico (Mexico City),14.28,15.64,17.02,18.46,19.28,20.13,21,19.371422,-99.150344
Beijing,6.02,6.79,8.31,10.16,12.81,16.19,20.38,39.937967,116.417592
Kinki M.M.A. (Osaka),17.58,18.39,18.94,18.66,18.76,19.49,20.24,34.671654,135.501902
Al-Qahirah (Cairo),8.33,9.89,11.96,13.63,15.17,16.9,18.77,30.06263,31.24967
New York-Newark,15.83,16.09,16.94,17.81,18.09,18.37,18.59,43.043879,-77.092513
Dhaka,4.66,6.62,8.33,10.28,12.33,14.73,17.6,23.7104,90.40744
Karachi,6.03,7.15,8.47,10.03,11.89,14.08,16.62,24.984695,67.238928
Buenos Aires,9.96,10.51,11.39,12.41,13.33,14.25,15.18,-34.607357,-58.454595
Kolkata (Calcutta),9.95,10.89,11.92,13.06,13.7,14.28,14.86,22.550437,88.362561
Istanbul,5.41,6.55,7.67,8.74,10.51,12.7,14.16,41.239403,28.409152
